Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_scMosfet_stgs_6_gcc_4.0,bisectMax,1,0.001,729,513694,0,519983,1027291,0,0,0,7525.751524,3909.893503,0,0.014473072,0.003806023,13246.32698,13246.32698,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_scMosfet_stgs_6_gcc_0.5,bisectMax,1,0.001,3,1056304,0,1080451,2112609,0,0,0,14165.21089,7659.021959,0,0.013110461,0.003625385,21907.88487,21907.88487,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverter_tanh_input_voltage_-1.0,bisectMax,1,2,0,1,0,0,0,0.004368067,0,0.004368067,0.00585103,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverter_tanh_input_voltage_1.0,bisectMax,1,2,0,1,0,0,0,0.003118992,0,0.003118992,0.004509926,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverter_lcMosfet_input_voltage_0.0,bisectMax,1,2,0,2,1,0,0,0.009216785,0,0.004608393,0.011998892,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverter_lcMosfet_input_voltage_1.8,bisectMax,1,2,0,2,1,0,0,0.011612177,0,0.005806088,0.016232967,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverter_scMosfet_input_voltage_0.0,bisectMax,1,3,0,3,2,0,0,0.023239136,0,0.007746379,0.02898407,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverter_scMosfet_input_voltage_1.0,bisectMax,1,4,0,4,3,0,0,0.019875288,0,0.004968822,0.02554512,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_tanh_numInverters_1,bisectMax,1,2,0,1,0,0,0,0.002185822,0,0.002185822,0.003221035,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_tanh_numInverters_2,bisectMax,3,16,0,7,6,2,0,0.009330511,0,0.00133293,0.013059855,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_tanh_numInverters_3,bisectMax,1,14,0,5,4,4,0,0.007496834,0,0.001499367,0.013599157,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_tanh_numInverters_4,bisectMax,3,48,0,19,18,10,0,0.022473335,0,0.001182807,0.03590107,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_lcMosfet_numInverters_1,bisectMax,1,2,0,1,0,0,0,0.01057601,0,0.01057601,0.014458179,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_lcMosfet_numInverters_2,bisectMax,3,20,0,17,7,1,0,0.062821627,0,0.00369539,0.107395172,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_lcMosfet_numInverters_3,bisectMax,1,17,0,7,5,5,0,0.036776066,0,0.005253724,0.074198008,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_lcMosfet_numInverters_4,bisectMax,3,46,0,33,16,9,0,0.161396265,0,0.004890796,0.271175146,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
inverterLoop_scMosfet_numInverters_1,bisectMax,1,2,0,1,0,0,0,0.033668041,0,0.033668041,0.036880016,FALSE,,,,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numSingleKill,numDoubleKill,totalLPTime,totalKTime,avgLPTime,avgKTime,Run_0,UseLp,,,,,,
